# Revised 18th November 2018 by Red Dog
# New 4.34 structure - corrected double ATIS freqs
# 
# File format is as follows:
#
# <campaign ID> <tacan ch#> <tacan band> <callsign> <range> <tacan_type> \
#    <tower_freq_UHF> <tower_freq_VHF> <runway1_ils_freq> <runway2_ils_freq> <runway3_ils_freq> \
#    <runway4_ils_freq> <OPS_freq_UHF> <GROUND_freq_UHF> <APPROACH_freq_UHF> <LSO_freq_UHF> <ATIS_freq_VHF>
#
#
# Chongju - ex Cheongju
764 042 X 18 35 1 250200 118700 0 0 0 11170 305500 275800 292900 0 128850
# Choongwon (R603) - ex Chungju (Jhunju)
870 005 X 39 70 1 230150 126200 0 0 0 11130 234950 275900 306700 0 135600
# Kangnung - ex Gangneung (Kangnung)
869 056 X 38 70 1 334900 126200 0 11150 0 0 226175 275800 304000 0 132050
# Seosan - ex Haemi
882 052 X 43 35 1 353100 126750 0 0 0 11150 318100 275800 253950 0 130300
# Kimhae - ex Kimhae
2239 117 X 8 140 1 233300 118100 0 10950 0 0 235100 274800 225100 0 126650
# Kimpo - ex Kimpo (Gimpo)
276 083 X 14 35 1 240900 118050 11010 10830 10990 11070 317800 236700 363800 0 126350
# Kunsan - ex Kunsan (Gunsan)
766 075 X 19 140 1 292300 126500 11030 11030 0 0 304800 273525 292650 0 120225
# Kwangju - ex Kwangju (Gwangju)
767 091 X 20 140 1 254600 126200 11110 11110 0 0 234700 275800 268000 0 128875
# Mandumi - ex Mandumi
858 1 Y 37 0 1 253400 118900 0 0 0 0 254225 275125 255625 0 0
# Osan - ex Osan
362 094 X 11 140 1 308800 122100 11130 11130 0 0 272700 253700 306300 0 132125
# Pohang (R815) - ex Pohang
58 072 X 7 100 1 236600 118050 0 11090 0 0 317375 275400 232400 0 127400
# Pusan - ex Pusan
3095 087 X 45 70 1 232400 118100 0 10950 0 0 250250 229525 253800 0 126450
# P'Yong'Taeg (A-511) Desiderio - ex Pyongtaeg
877 019 X 42 35 1 257800 122500 0 10850 0 0 294100 229700 363100 0 128250
# Sachon (R814) - ex Samcheonpo / Hwa Dong
212 037 X 6 35 1 305400 130200 10810 11150 0 0 225475 275800 317425 0 126625
# Seoul (K-16) - ex Seoul
277 046 X 15 35 1 237100 126200 11090 0 0 0 225775 276200 363900 0 126400
# Suwon (K-13) - ex Suweon
360 022 X 12 70 1 366000 126200 0 0 10850 0 225675 275700 306400 0 126425
# Taegu (K-2) - ex Taegu (Daegu)
778 125 X 21 35 1 365000 126200 0 10870 0 0 240600 275800 346300 0 127650
# Yechon (K-58) - ex Yecheon (Yechon)
872 026 X 40 100 1 269500 124350 0 10930 0 0 236075 234500 229350 0 135800
# Hoengsong (K-46) - ex Wonju Airstation
762 060 Y 141 0 1 265500 126200 11020 0 0 0 225575 277800 292600 0 128600
# Sokcho (R407) - ex Yang Yang Airstrip
1212 059 Y 142 0 1 236600 122200 11100 11100 0 0 240500 240400 304400 0 123150
# Kumi - ex Gumi Strip
873 2 Y 32766 0 1 236600 122600 0 0 0 0 0 0 0 0 0
# R110 - ex Habdeog Airstrip
883 3 Y 32766 0 1 236600 122600 0 0 0 0 0 0 0 0 0
# R419 - ex Hongcheon Airstrip
867 4 Y 32766 0 1 233800 122800 0 0 0 0 0 0 0 0 0
# R605 - ex Jecheon Airstrip
868 5 Y 32766 0 1 233800 122800 0 0 0 0 0 0 0 0 0
# R601 - ex Jeoncheon
